#time(s),x(m),y(m),z(m),qx,qy,qz,qw,gt_x(m),gt_y(m),gt_z(m),gt_qx,gt_qy,gt_qz,gt_qw
36.000000,155.619480,0.000000,-0.109090,0.000000,-0.015235,0.000000,0.999884,155.617218,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
37.000000,168.948063,0.000000,-0.050734,0.000000,-0.017008,0.000000,0.999855,168.946030,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
38.000000,183.016599,0.000000,0.004011,0.000000,-0.018187,0.000000,0.999835,183.014984,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
39.000000,197.845318,0.000000,0.053730,0.000000,-0.018795,0.000000,0.999823,197.844101,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
40.000000,213.454242,0.000000,0.097250,0.000000,-0.018872,0.000000,0.999822,213.453354,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
41.000000,229.863403,0.000000,0.133706,0.000000,-0.018472,0.000000,0.999829,229.862762,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
42.000000,247.092811,0.000000,0.162578,0.000000,-0.017665,0.000000,0.999844,247.092316,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
43.000000,265.162480,0.000000,0.183701,0.000000,-0.016524,0.000000,0.999863,265.162018,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
44.000000,284.092377,0.000000,0.197228,0.000000,-0.015126,0.000000,0.999886,284.091888,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
45.000000,303.902368,0.000000,0.203586,0.000000,-0.013550,0.000000,0.999908,303.901886,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
46.000000,324.612875,0.000000,0.203397,0.000000,-0.011864,0.000000,0.999930,324.612061,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
47.000000,346.243304,0.000000,0.197416,0.000000,-0.010134,0.000000,0.999949,346.242371,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
48.000000,368.814064,0.000000,0.186491,0.000000,-0.008413,0.000000,0.999965,368.812836,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
49.000000,392.344827,0.000000,0.171496,0.000000,-0.006748,0.000000,0.999977,392.343445,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
50.000000,416.855717,0.000000,0.153316,0.000000,-0.005177,0.000000,0.999987,416.854187,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
51.000000,442.366542,0.000000,0.132818,0.000000,-0.003730,0.000000,0.999993,442.365112,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
52.000000,468.897626,0.000000,0.110836,0.000000,-0.002430,0.000000,0.999997,468.896149,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
53.000000,496.468760,0.000000,0.088153,0.000000,-0.001294,0.000000,0.999999,496.467377,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
54.000000,525.100054,0.000000,0.065497,0.000000,-0.000332,0.000000,1.000000,525.098755,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
55.000000,554.811460,0.000000,0.043525,0.000000,0.000453,0.000000,1.000000,554.810242,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
56.000000,585.622962,0.000000,0.022810,0.000000,0.001060,0.000000,0.999999,585.621887,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
57.000000,617.554613,0.000000,0.003837,0.000000,0.001495,0.000000,0.999999,617.553711,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
58.000000,650.626420,0.000000,-0.013012,0.000000,0.001768,0.000000,0.999998,650.625671,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
59.000000,684.858381,0.000000,-0.027454,0.000000,0.001893,0.000000,0.999998,684.857788,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
60.000000,720.270529,0.000000,-0.039316,0.000000,0.001887,0.000000,0.999998,720.270020,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
61.000000,756.882817,0.000000,-0.048524,0.000000,0.001768,0.000000,0.999998,756.882446,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
62.000000,794.715286,0.000000,-0.055096,0.000000,0.001555,0.000000,0.999999,794.715027,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
63.000000,833.787879,0.000000,-0.059136,0.000000,0.001270,0.000000,0.999999,833.787720,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
64.000000,874.120647,0.000000,-0.060819,0.000000,0.000932,0.000000,1.000000,874.120544,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
65.000000,915.733573,0.000000,-0.060375,0.000000,0.000560,0.000000,1.000000,915.733582,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
66.000000,958.646691,0.000000,-0.058077,0.000000,0.000172,0.000000,1.000000,958.646729,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
67.000000,1002.879938,0.000000,-0.054229,0.000000,-0.000216,0.000000,1.000000,1002.880066,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
68.000000,1048.453339,0.000000,-0.049147,0.000000,-0.000590,0.000000,1.000000,1048.453491,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
69.000000,1095.386928,0.000000,-0.043152,0.000000,-0.000939,0.000000,1.000000,1095.387085,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
70.000000,1143.700628,0.000000,-0.036557,0.000000,-0.001255,0.000000,0.999999,1143.700928,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
71.000000,1193.414509,0.000000,-0.029657,0.000000,-0.001529,0.000000,0.999999,1193.414795,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
72.000000,1244.548519,0.000000,-0.022723,0.000000,-0.001759,0.000000,0.999998,1244.548828,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
73.000000,1297.122714,0.000000,-0.015994,0.000000,-0.001941,0.000000,0.999998,1297.123047,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
74.000000,1351.157037,0.000000,-0.009673,0.000000,-0.002076,0.000000,0.999998,1351.157349,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
75.000000,1406.671522,0.000000,-0.003927,0.000000,-0.002165,0.000000,0.999998,1406.671875,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
76.000000,1463.686161,0.000000,0.001121,0.000000,-0.002210,0.000000,0.999998,1463.686523,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
77.000000,1522.220974,0.000000,0.005385,0.000000,-0.002216,0.000000,0.999998,1522.221436,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
78.000000,1582.295940,0.000000,0.008820,0.000000,-0.002188,0.000000,0.999998,1582.296387,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
79.000000,1643.931045,0.000000,0.011412,0.000000,-0.002131,0.000000,0.999998,1643.931396,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
80.000000,1707.146314,0.000000,0.013184,0.000000,-0.002051,0.000000,0.999998,1707.146729,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
81.000000,1771.961740,0.000000,0.014181,0.000000,-0.001954,0.000000,0.999998,1771.962158,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
82.000000,1838.397319,0.000000,0.014472,0.000000,-0.001845,0.000000,0.999998,1838.397705,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
83.000000,1906.473041,0.000000,0.014145,0.000000,-0.001730,0.000000,0.999999,1906.473389,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
84.000000,1976.208917,0.000000,0.013296,0.000000,-0.001613,0.000000,0.999999,1976.209229,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
85.000000,2047.624937,0.000000,0.012029,0.000000,-0.001498,0.000000,0.999999,2047.625244,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
86.000000,2120.741112,0.000000,0.010452,0.000000,-0.001390,0.000000,0.999999,2120.741455,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
87.000000,2195.577431,0.000000,0.008666,0.000000,-0.001291,0.000000,0.999999,2195.577637,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
88.000000,2272.153931,0.000000,0.006771,0.000000,-0.001203,0.000000,0.999999,2272.154297,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
89.000000,2350.490547,0.000000,0.004855,0.000000,-0.001127,0.000000,0.999999,2350.490723,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
90.000000,2430.607347,0.000000,0.002996,0.000000,-0.001064,0.000000,0.999999,2430.607666,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
91.000000,2512.524265,0.000000,0.001260,0.000000,-0.001015,0.000000,0.999999,2512.524414,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
92.000000,2596.261334,0.000000,-0.000302,0.000000,-0.000977,0.000000,1.000000,2596.261475,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
93.000000,2681.838543,0.000000,-0.001652,0.000000,-0.000952,0.000000,1.000000,2681.838623,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
94.000000,2769.275928,0.000000,-0.002765,0.000000,-0.000938,0.000000,1.000000,2769.276123,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
95.000000,2858.593439,0.000000,-0.003629,0.000000,-0.000932,0.000000,1.000000,2858.593506,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
96.000000,2949.811121,0.000000,-0.004244,0.000000,-0.000934,0.000000,1.000000,2949.811279,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
97.000000,3042.948931,0.000000,-0.004621,0.000000,-0.000943,0.000000,1.000000,3042.948975,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
98.000000,3138.026921,0.000000,-0.004775,0.000000,-0.000955,0.000000,1.000000,3138.027100,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
99.000000,3235.065054,0.000000,-0.004733,0.000000,-0.000970,0.000000,1.000000,3235.065186,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
